State Code,County Code,Site Number,Address,State,County,City,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Date,Year,Month
80,2,12,"UABC, CALZADA BENITO JUAREZ, MEXICALI",Country Of Mexico,BAJA CALIFORNIA NORTE,Mexicali,Parts per billion,40.714286,77.0,21,76,Parts per million,0.015792,0.032,9,27,Parts per billion,5.73913,16.0,20,23.0,Parts per million,2.779167,7.8,23,84.0,2006-12-20,2006,12
8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,Parts per billion,27.956522,42.0,1,40,Parts per million,0.006458,0.016,10,14,Parts per billion,3.130435,14.0,11,20.0,Parts per million,1.141667,1.8,6,20.0,2010-01-09,2010,1
42,73,15,CROTON ST & JEFFERSON ST.,Pennsylvania,Lawrence,New Castle,Parts per billion,30.347826,52.0,20,49,Parts per million,0.033417,0.059,8,50,Parts per billion,8.73913,29.0,7,41.0,Parts per million,0.708333,0.9,0,10.0,2003-04-15,2003,4
6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,Parts per billion,26.238095,42.0,6,40,Parts per million,0.01775,0.024,9,20,Parts per billion,2.227273,8.0,11,11.0,Parts per million,0.691667,0.9,10,10.0,2006-10-23,2006,10
9,9,27,1JAMES STREET,Connecticut,New Haven,New Haven,Parts per billion,25.2,40.0,10,38,Parts per million,0.039941,0.052,11,44,Parts per billion,3.713333,5.9,15,7.0,Parts per million,0.24,0.3,14,3.0,2009-08-04,2009,8
36,103,9,57 DIVISION STREET,New York,Suffolk,Holtsville,Parts per billion,10.409091,18.0,1,17,Parts per million,0.043542,0.06,9,51,Parts per billion,1.73913,3.0,0,4.0,Parts per million,0.1,0.1,0,1.0,2006-06-30,2006,6
6,37,5005,7201 W. WESTCHESTER PARKWAY,California,Los Angeles,Los Angeles,Parts per billion,6.217391,25.0,6,24,Parts per million,0.037625,0.054,9,46,Parts per billion,0.304348,2.0,14,3.0,Parts per million,0.170833,0.3,6,3.0,2008-10-10,2008,10
6,37,5005,7201 W. WESTCHESTER PARKWAY,California,Los Angeles,Los Angeles,Parts per billion,4.326087,25.1,23,24,Parts per million,0.035708,0.047,8,40,Parts per billion,0.004348,0.1,7,0.0,Parts per million,0.229167,0.3,7,3.0,2012-04-14,2012,4
48,201,1039,4514 1/2 Durant St,Texas,Harris,Deer Park,Parts per billion,10.0125,28.3,2,26,Parts per million,0.041125,0.056,11,54,Parts per billion,0.647826,5.1,12,7.0,Parts per million,0.170833,0.3,4,3.0,2013-05-04,2013,5
6,71,306,"14306 PARK AVE., VICTORVILLE, CA",California,San Bernardino,Victorville,Parts per billion,8.004545,21.1,6,20,Parts per million,0.065667,0.079,11,129,Parts per billion,1.131818,1.4,19,1.0,Parts per million,0.266667,0.3,2,3.0,2014-05-31,2014,5
11,1,41,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,Parts per billion,17.428571,37.0,18,35,Parts per million,0.007833,0.021,10,18,Parts per billion,1.4,2.0,7,3.0,Parts per million,1.375,1.6,7,18.0,2011-11-07,2011,11
21,111,67,"2730 CANNONS LANE, BOWMAN FIELD",Kentucky,Jefferson,Louisville,Parts per billion,12.795833,24.1,3,23,Parts per million,0.010667,0.02,9,19,Parts per billion,1.070833,3.1,19,4.0,Parts per million,0.291667,0.4,0,5.0,2015-12-07,2015,12
6,83,1025,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,Parts per billion,1.782609,5.0,8,5,Parts per million,0.03825,0.044,10,37,Parts per billion,1.043478,2.0,2,3.0,Parts per million,0.1625,0.2,0,2.0,2010-03-01,2010,3
6,23,1004,717 SOUTH AVENUE,California,Humboldt,Eureka,Parts per billion,4.666667,9.1,22,8,Parts per million,0.020792,0.032,11,27,Parts per billion,0.654167,0.8,22,0.0,Parts per million,0.166667,0.3,22,3.0,2011-11-30,2011,11
23,3,1100,"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769",Maine,Aroostook,Presque Isle,Parts per billion,0.941667,1.7,19,1,Parts per million,0.014944,0.016,4,15,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.170833,0.2,0,2.0,2015-07-20,2015,7
36,81,124,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,Parts per billion,21.75,38.0,19,36,Parts per million,0.030042,0.064,9,64,Parts per billion,4.0,8.0,8,11.0,Parts per million,0.475,0.6,0,7.0,2005-06-12,2005,6
36,5,83,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,Parts per billion,19.666667,27.0,0,25,Parts per million,0.012208,0.02,11,17,Parts per billion,2.25,4.0,4,6.0,Parts per million,0.641667,0.7,0,8.0,2000-07-30,2000,7
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,Parts per billion,9.708333,20.0,21,19,Parts per million,0.021958,0.032,8,30,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.216667,0.3,20,3.0,2015-06-05,2015,6
48,141,37,250 Rim Rd,Texas,El Paso,El Paso,Parts per billion,17.516667,33.5,23,31,Parts per million,0.016875,0.034,10,31,Parts per billion,0.708333,2.5,23,3.0,Parts per million,0.079167,0.2,0,2.0,2013-02-05,2013,2
19,153,30,"1907 CARPENTER, DES MOINES IOWA",Iowa,Polk,Des Moines,Parts per billion,6.529167,12.2,6,11,Parts per million,0.03925,0.05,9,46,Parts per billion,0.034783,0.1,14,0.0,Parts per million,0.2,0.2,0,2.0,2014-05-30,2014,5
48,201,416,7421 Park Place Blvd,Texas,Harris,Houston,Parts per billion,6.5625,13.7,7,12,Parts per million,0.013292,0.018,20,15,Parts per billion,0.354167,0.8,20,0.0,Parts per million,0.191667,0.3,9,3.0,2012-02-28,2012,2
